move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes
2359	in rage b+1+2 or WS+b+1+2 or AOP b+1+2	m	55	20 pc8~17	-27	KND	KND	Rage art
1649	in rage RDS d+3, 3+4	l, m, (Special)	7,10	js11~	-4~-3	KND	KND	Rage drive, Tail spin
1615	1	h	7	10	+1	+8	+8	
1581	1, 2	h, h	7,8	10	-1	+5	+5	
1582	1, 2, 1	h, h, m	7,8,20	10	-9~-8	KND	KND	
1819	1, D+2	h, m	7,10	10	-4~-1	+7~+10	+9~+12	
	1, d+2	h, m(RDS)	7,10	10b	-3~0	+8~+11	+10~+13	
1821	1, d+2, 1+2	h, m, m	7,10,24	10	-12~-10	CS	CS	
1583	2	h	8	10	-2	+6	+6	
1797	2, 1	h, m(RDS)	8,10	10b	-4	+7	+7	
	2, D/F+1	h, m	8,10	10	-4	+7	+7	
1601	3	h	17	14~15	-11~-10	KND	KND	Tail spin
	4	h	15	11	-9	+8	Launch (JG?)	
1605	4~3	m (TJ)	23	23~25s (24~) js10~	-1~+1s	+3~+5s	KND	
	4~3, d+1+2	m (TJ), (Special)	23	23~25 (24~) js10~	0~+2s	+4~+6s	KND	
1913	1+2	m	24	20~21	-7~-6	CS	CS	
	3+4 or u+3+4	(Special)(Absorbs 1 h/m hit)		2~10		(+5b)		
	d+3+4	(Special)(Absorbs 1 h/m hit)		2~10		(+5b)		
1616	f+2	m	12	16~17	-7~-6	+4~+5	+4~+5	
1617	f+2, 1	m, h	12,14	16~17	-3	+8	+10	
1618	f+2, 1, 4	m, h, m	12,14,20	16~17	-9~-8	KND	Tail spin	Tail spin
1619	f+3	m	14	16~18	-9~-7	+2~+4	+2~+4	
1620	f+3, 1	m, m	14,8	16~18b	-4~-2	+7~+9	+7~+9	
1622	f+3, 1, 1+2	m, m, mm	14,8,6,20	16~18	-12~-11	+7~+8s	+7~+8s	
1623	f+4	h	23	19~20	+1~+2	KND	KND	Tail spin, Homing
1914	f+1+2	m	25	12~13	-16~-15	KND	KND	
	f+3+4	(Special)		s				
1891	f+3+4, 3+4	(Special), mmm (TJ)	8,8,14	20~21, 28~29, 37~40s (46~) js23~	-10~-7	KND	KND	
1889	f+3+4, 3+4 (second and third hit miss)	(Special), m	8	20~21 (46~)	-46	-35	-35	
	f+3+4, d+1+2	(Special), (AOP)		18~19 (44~)				
1666	d/f+1	m (TC)(RDS)	11	14b cs6~13	-4	+7	+7	
	D/F+1	m (TC)	11	14 cs6~13	-4	+7	+7	
	d/f+2	m	15	15	-6	+5a	+5a	
1824	d/f+2~1	mm	8,12	15~16, 22~23 (15~16)	-13~-12	JG	JG	
	d/f+2~1 (Second hit only)	m	12	22~23	-12~-11	Launch (JG?)	Launch (JG?)	
1668	d/f+3	h	23	23~24 pc8~22	-8~-7	KND	KND	Power crush
	d/f+4	m	12	12	-4	+7	+7	
1750	d+1	mmm	7,7,7	17~19, 21~23, 26~32s	-9~-3	+2~+8s	+2~+8s	
1749	d+1 (Third hit miss, Second hit only)	mm	7,7	17~19, 21~23s	-14~-12	-3~-1s	-3~-1s	
	D+1	mmm, (AOP)	7,7,7	17~18, 21~23, 26~32s	-13~-7	-2~+4s	-2~+4s	
	D+1 (Third hit miss, Second hit only)	mm, (Special)	7,7	17~18, 21~23a	-18~-16	-7~-5s	-7~-5s	
1657	d+3	l (TC)	12	14s cs6~	-12	-3	+1	
1658	d+3, 4	l (TC), h	12,21	14 6~	0~+1	KND	KND	
1776	d/b+1	m	30	18	-9	KND	KND	
1675	d/b+3	l(!)	0	15	+2	+2s	+12s	
1676	d/b+4	l	12	18	-12	+7s	KND	
2047	b+1	m(RDS)	10	8~13(b)		+1	+1	
	B+1	m	10	8~13	-12~-7	-1~+4	-1~+4	
2049	b+2	m	13	15~16b	-6~-5	+5~+6	+5~+6	Homing
2050	b+2, 2	m, l?	13,10	15~16b	-8~-6	+3~+5	+3~+5	
1626	b+3	h	22	18~19b	-4~-3	+7~+8s	KND	
1627	b+4	m	14	13~15	-11~-9	0~+2	0~+2	
1628	b+4, 4	m, h	14,17	13~15	-9~-8	+14kg	+14kg	Tail spin
	u/b+3+4	m (TJ)	23	22~24 js18~	-17~-15	Launch (JG?)	Launch (JG?)	
1695	u/b+3+4, d+1+2	m (TJ), (AOP)	23	22~24 js18~	-19~-17	Launch (JG?)	Launch (JG?)	
1758	u+1+2	mm	5,5	16~18, 22~24s	-11~-9	0~+2s	0~+2s	
1799	u+1+2, 2	mm, m	5,5,12	16~18, 22~24	-12	-1	-1	
1786	u+1+2, 2, 1	mm, m, m	5,5,12,20	16~18, 22~24	-12~-11	KND	KND	
	u+1+2, 2, 1, b (Cancel)	mm, m, (RDS)	5,5,12	16~18, 22~24b	-19	-8	-8	
	u+1+2, 3+4	mm	5,5	16~18, 22~24	-16~-14	-5~-3s	-5~-3s	
1519	u or u/f+1	l (TJ), (AOP)	15	33~35 js9~23	-7~-5	+10~+12s	+10~+12s	
	u/b+3	m	11	16~17 js9~	-13~-12	-1~0	-1~0	
	u+3	m	15	16~17 js9~	-13~-12	KND	Launch (JG?)	
1529	u/f+3	m	13	16~17 js9~	-13~-12	Launch (JG?)	Launch (JG?)	
	u+4	m (TJ)	20	23~26 js9~	-7~-4	+4~+7s	KND (+4~+7s)	
1559	u/f+4	m (TJ)	23	23~26 js9~	-3~0	+8~+11s	KND	
	u/f+4, D	m (TJ)	23	23~26s js9~	-7~-4	+4~+7s	KND	
1560	u/f+4, d+1+2	m (TJ), (AOP)	23	23~26 js9~	-9~-6	+2~+5s	KND	
1941	u/f+1+2	m (TJ)	23	26~27 js9~	+3~+4s	+7~+8s	KND	
	u/f+1+2, B	m (TJ)(RDS)	23	26~27b js9~	+3~+4s	+7~+8s	KND	
1763	u/f+3+4	mmm (TJ)	8,10,12	16~17 ,27~28, 36~37(b) js9~	-3~-2	KND	KND	
1762	u/f+3+4 (Third hit miss)	mm (TJ)	8,10	16~17 ,27~28(b) js9~	-21~-20			
1766	f, F+1	m	19	15(16~)	-11	0s	0s	
	f, F+1, D	m, (AOP)	19	15(16~)	-5	+6s	+6s	
1772	f, F+1, 3	m, h	19,20	15(16~)	-1~0	KND	KND	
1774	f, F+1, 4	m, m	19,20	15(16~)	-12~-11	KND	KND	
1800	f, F+2	m	12	15(16~)	-5	+6	+6	
	f, F+2, 1	m, m	12,20	15(16~)	-12~-11	KND	KND	
	f, F+2, 1, b (Cancel)	m, (RDS)	12	15b(16~)	-19	-8	-8	
1829	f, F+3	m	13	14~15b (15~)	-5~-4	+6~+7	+7~+8y	
1880	f, F+4	m (TJ)	25	24(25~) js9~20	+1	KND	KND	
	f, F+4, When guarded4	m (TJ), (Special)		24(25~) 9~20	+5			
1897	f, F+1+2	m	12	14~16 (15~)	-9~-7	+5~+7	+5~+7	
1899	f, F+1+2, 1+2	m, m	12,21	14~16 (15~)	-8~-7	+5~+6s	KND	
1912	f, F+3+4	m (TJ)	25	37~45   ~js9~	-5~+3	KND	KND				
1686	f, f, f+3	m (TJ), (Special)	20	23~30 (26~) js3~	+7~+14g	KND	KND	
1679	WS+1	m	10	13~14	-4~-3	+7~+8	+7~+8	
1680	WS+1, 4	m, m	10,20	13~14	-10	+12kg	+12kg	
1681	WS+2	m	17	13~15b	-4~-2	+7~+9	Launch (JG?)	
	WS+2, b or f	m	17	13~15	-6~-4	+5~+7	Launch (JG?)	
	WS+2*	m	20	22b	-3	Launch (JG?)	Launch (JG?)	
	WS+2*, b or f	m	20	22	-5	Launch (JG?)	Launch (JG?)	
1682	WS+3	m	22	22~23	+3~+4s	+6~+7s (KND)	Launch	
1683	WS+4	m	20	11~13	-10~-8	KND	KND	
	WS+b+4 or QCB+4	h	20	14~16	-4~-2	+1~+3	CS	
1635	FC+3	l (TC)	11	15~17s cs1~	-15~-13	-4~-2	-4~-2	
1636	FC+3, 2	l (TC), h	11,6	15~17 1~b	0	+7	+7	
1738	FC+3, 2, 1	l (TC), h, h	11,6,6	15~17 1~	-1	+6	+10	
1869	FC+3, 2, 1, 4	l (TC), h, h, m	11,6,6,12	15~17 1~	-18~-16	Launch (JG?)	Launch (JG?)	
1814	FC+d/f+2	l (TC)	10	19s cs1~	-17	-6	-6	
	FC+d/f+2, D/F	l (TC)(RDS)	10	19bs cs1~	-8	+3	+3	
1784	FC+d/f+2, 1	l (TC), l (TC)	10,14	s cs1~	-11	0	0	
	FC+d/f+2, 1, D/F	l (TC), l (TC)(RDS)	10,14	bs cs1~	-8	+3	+3	
1862	FC+d/f+4	l (TC), (AOP)	10	18~20 cs1~	-7~-5	+4~+6	+4~+6	
1864	FC+d/f+4, 4	l (TC), l (TC)	10,10	s cs1~	-6~-4	+5~+7	+5~+7	
1687	SS+3	l (TC)	23	27~28 (36~) cs6~	-23	KND	KND	Homing
1688	SS+3, d+1+2	l (TC), (AOP)	23	27~28 (36~) cs6~		KND	KND	Homing
	SS+3, b (Cancel)	(RDS)		bs				
1677	SS+4	l (TC)	19	18~19s (27~) cs6~	-13~-12	-2~-1	KND	
	1+3+4	(Special) (TJ)		18~19 (27~) 6~				
	2+3+4	(Special)		18~19 (27~) 6~				
	d/b+1+2 (SSR)	(HYP)		18~19 (27~) 6~				
	u/b+1+2 (SSL)	(HYP)		18~19 (27~) 6~				
	HYP 1+2	(HYP)		18~19 (27~) 6~				
	HYP 1+4	(Special), Parry		18~19 (27~) 6~		+5		
1804	HYP 2 (After on step)	m(HYP)	25	22(42)	-4	KND	KND	
	HYP 2 (After two step)	m(HYP)	30	22(67)	+5	KND	KND	
	HYP 2 (After three step)	m(HYP)	35	22(92)	+24	KND	KND	
1714	HYP 4	h	20	14~16 (34,51,84)	-4~-2	+1~+3	CS	
1712	HYP 3+4	h (TJ)	26	25~26a (45,70,95) js12~	+2~+3	KND	KND	
1808	HYP 2+3 (After on step)	!?(HYP)	40	61(81)	KND	KND	KND	
	HYP 2+3 (After two step)	!?(HYP)	50	61(106)	KND	KND	KND	
	HYP 2+3 (After three step)	!?(HYP)	60	61(131)	KND	KND	KND	
	b+3+4	(RDS)		b				
	FC+d/b+3+4	(Special)		b				
	RDS u/f, f	(Special)						
	RDS u/f, f, D/F	(Special)		s				
1585	RDS 1	m	17	16~18	-5~-3	+4~+6	CS	
1586	RDS 1, 4	m, h (TJ)	17,24	js12~	-6~-3	KND	Tail spin	Tail spin
1595	RDS 2	h(RDS)	9	12b	0	+6	+6	
1737	RDS 2, 1	h, h	9,8	12	-1	+6	+10	
1870	RDS 2, 1, 4	h, h, m	9,8,15	12	-18~-16	Launch (JG?)	Launch (JG?)	
1932	RDS 2, 2	h, m	9,12	12b	-7~-5	+4~+6	+4~+6	
1940	RDS 2, 2, 1	h, m, mmm	9,12,7,7,7	12s	-13~-7 (-18)	-2~+4s	-2~+4s	
	RDS 2, 2, 1, D	h, m, mmm, (AOP)	9,12,7,7,7	12	-13~-7 (-18)	-2~+4s	-2~+4s	
1610	RDS 3	m (TJ)	25	18~19b js9~	-19~-18	KND	KND	Wall bounce
1613	RDS 4	m	17	13~15	-18~-16	Launch (JG?)	Launch (JG?)	
1598	RDS 1+2	mm	6,6	16~18, 23~24	-5~-4	+6~+7	+6~+7	
1600	RDS 1+2, 1+2	mm, mm	6,6,6,6	16~18, 23~24s	-11~-10	0~+1s	0~+1s	
	RDS 3+4 or u+3+4	(Special)		16~18, 23~24				
	RDS d+3+4	(Special)		16~18, 23~24				
	RDS 1+4	Parry(RDS)		1~		+5		
2031	RDS f+1+2	m(h or m punch parry)	21	23	-8	+3(CS)	+5	
	RDS f+3+4	(Special)?(RDS)		b				
1908	RDS f+3+4, 3+4	m(RDS)	23	12~13b (25~26) ar1~	-11~-10	Launch (JG?)	Launch (JG?)	
	RDS b+3+4	(RDS)		b				
1640	RDS d+3	l	10	16	-12	+7s	+7s	
1644	RDS d+3, 4	l, h	10,20	16	-5~-4	KND	Tail spin	Tail spin
1885	RDS d+4	l	21	24~26s cs8~	-26	KND	KND	
	RDS d/b or d or d/f+1+2	(RDS)		24~26 8~				
	RDS d+1+4	Low parry(RDS)		1~				
