move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes
2134	in rage d/f+1+2	m	55	20 pc8~17	-22	KND	KND	Rage art
1696	in rage f, F+1+2	m	30	21(22~)	+11~+12g	Launch	Launch	Rage drive
1579	1	h	8	10	-2	+9	+9	
1691	1, 1	h, m	8,15	10	-7	+4	+4	
1580	1, 2	h, m	8,9	10	-8~-7	+3~+4a	+3~+4a	
1582	1, 2, 3	h, m, m	8,9,24	10	-2~0	KND	KND	Tail spin
""	1, 2, 3, *, n (two spins)	h, m, m	8,9,26	10	+6~+7	KND	KND	Tail spin
""	1, 2, 3, * (three spins)	h, m, !	8,9,28	10	KND	KND	KND	Tail spin
""	1, 2, 3, B (Cancel)	h, m	8,9	10	-18~-17	-7~-6a	-7~-6a	
1583	1, 2, 4	h, m, m	8,9,20	10	-12~-11	KND	KND	
1702	1, 3	h, l	8,10	10	-11	0	0	
1716	1, 4	h, l (TC)(LCT)	8,14	cs6~	-11~-9	0~+2	+3~+5	
1585	2	h	9	12	-11	0	0	
1587	2, 1	h, h	9,10	12	-3~-2	+8~+9	+8~+9	
1589	2, 1, 1+2	h, h, hh	9,10,8,20	12	-9~-8	KND	KND	Tail spin
1590	2, 1, d+1+2	h, h, m	9,10,23	12	-10s	+3s	JG	
1586	2, 3	h, m (TJ)	9,20	js18~	-19~-18	KND	KND	
1596	3	m	17	14	-7	+9	+9	
1597	3, 1	m, m?	17,17	14	-11~-10	+8	CS	
""	4	h	18	11	-7	+7	Launch (JG?)	
1598	3~4	l (TC)	22	26~28s (27~) cs6~	-26	KND	KND	Homing
1595	1+2	m	21	16~17	-9~-8	CS	CS	
1684	3+4	mm (TJ)	10,21	23,30~32 js5~	-6~-4	KND	KND	
	3+4, (d/b, d or d/f)	mm (TJ)	10,21	23, 30~32s	-6~-4	KND	KND	
1742	1+4 (First hit only)	l	5	14	-19	-8	-8	
1743	1+4	lh	5,8	14,31	-3(-19s)	+9	+9	
1692	1+4, 2	lh, h	5,8,10	14,31	-2	+9	+9	
1699	1+4, 2, 1	lh, h, h	5,8,10,12	14,31	-2	+9	+9	
1741	1+4, 2, 4	lh, h, m	5,8,10,23	14,31	-9	+4	KND	
1731	1+4, 2, d+4	lh, h, l	5,8,10,15	cs10~	-23	KND	KND	
	1+4, 3	lh, m	5,8,24	10~	-2~0	KND	KND	Tail spin
""	1+4, 3, b (Cancel)	lh	5,8	10~	-20(37s)	-9	-9	
1773	2+3	h(Absorbs 1 h/m hit)	21	28~29 (7~)	0~+1	KND	KND	
1660	f+2	m	20	17~18	-18~-17	Launch (JG?)	Launch (JG?)	
""	f+2, d/b or d or D/F (Cancel)	(Special)		s				
1704	f+3	m	24	14~16 (31~33)	-2~0	KND	KND	Tail spin
	f+3, *, n (two spins)	m	26	12~13 (52~53)	+6~+7	KND	KND	Tail spin
1710	f+3, * (three spins)	!	28	12~13 (70~71)	KND	KND	KND	Tail spin
1717	f+4	h	21	19~21	+3~+5	KND	KND	Homing, Tail spin
1801	f+1+2	h	26	15~16 pc8~14	-9	KND	KND	Power crush, Wall bounce
1652	d/f+1	m	10	13~14	-3~-2	+8~+9	+8~+9	
1655	d/f+1, 2	m, h(, (throw))	10,13(,20)	13~14	-1	Throw(KND)	Throw(KND)	
1653	d/f+1, 4	m, m	10,22	13~14	-12~-11	KND	CS	
1607	d/f+2	m	14	15~16	-6~-5	Launch (JG?)(+5a)	Launch (JG?)	
1663	d/f+3	m	22	20~21	-8~-7	KND	KND	
	d/f+4	m	16	12	-9	+2	+2	
1640	d+2	m	18	18	-4s	+9s	KND	
1632	d+1+2 or FC+d/b or d+1+2	l (TC)	20	20 cs15~	-18	KND	KND	
1644	d+3+4	lh (TJ)	5,20	14,24 js5~	-6(-25s)	Launch (JG?)	Launch (JG?)	
1634	d/b+1	m (TC)	13	14 cs6~13	-9	+4	+9	
1635	d/b+1, 2	m (TC), h	13,25	14	-9	KND	KND	Tail spin
1761	d/b+2	m	22	23~24 cs3~20	-11~-10	Launch	Launch	
1665	d/b+3	l	17	21	-12	+4s	+14g	
1778	b+1	l (TC)(, (throw))	17	29~30s cs6~	-10~-9	+6~+7	Throw(KND)	
1762	b+2	m	12	15	-4s	+1s	+1s	
1768	b+2, 1	m, m	12,14	15	-7	+4	+4	
1771	b+2, 4	m, l(LCT)	12,14	cs15~	-11~-9	0~+2	+3~+5	
1764	b+2, 1+2	m, h	12,7	15~	-9	+2	+1	
""	b+2, 1+2, d (Cancel)	m	12	15~s	-6s	-1s	-1s	
1767	b+2, 1+2, 4	m, h, m	12,7,20	15~	-13~-12	KND	KND	Tail spin
1711	b+3	m (TJ)	15	16~17 js10~	-19~-18	Launch (JG?)	Launch (JG?)	
1701	b+3, 2	m, m?	15,20	16~17 10~	-20~-19	Launch (JG?)	Launch (JG?)	
""	b+3, 2, (d/b, d or d/f) (Cancel)	m, (Special)?	15	16~17 10~s	-33~-32	Launch (JG?)	Launch (JG?)	
