move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes
2173	in rage d+1+2	m	55	20 pc8~17	-22	KND	KND	Rage art
1816	in rage f, f, f+1+2	m	30	15~16 (18~)	+5s	Launch	Launch	Rage art
1821	in rage f, f, f+1+2 , d/b+1+2	m, m(Throw)	30,5	15~16 (18~)	中Throw(KND)	中Throw(KND)	中Throw(KND)	Rage art
1625	1	h	7	10	+1	+8	+8	
1581	1, 1	h, h	7,8	10	-4	+7	+7	
1582	1, 1, 3	h, h, m	7,8,22	10	-9~-8	KND	KND	
1586	1, 2	h, m	7,8	10	-9	+2	+2	
1588	1, 2, 1	h, m, m	7,8,20	10	-14~-13	KND	uKZD	
1584	1, 3	h, h	7,14	10	-7~-6	+1~+2	+9~+10	
1585	1, 3, 2	h, h, m	7,14,20	10	-12~-11	KND	KND	
""	1, 3, 2~1+2	h, h, h(Throw)	7,14,35	10		Throw(KND)		
""	1, 3, 2~1+2 B (Cancel)	h, h, (Special)	7,14	10	-32~-31	-24~-23	-16~-15	
1589	2	h	10	10	0	+9	+9	
1590	2, 1	h, h	10,8	10	-2	+6	+6	
1591	2, 1, 3	h, h, h	10,8,24	10	-9~-8	KND	KND	
1592	2, 1, 4	h, h, l	10,8,14	10	-12	+3s	+3s	
1603	3	m	10	15~16	-9~-8	+2~+3	+2~+3	
1604	3, 1	m, h	10,8	15~16	-2~-1	+7~+8	+7~+8	
	3, 1, df	m, h	10,8	15~16	0	+8	+8	
1609	3, 1, 2	m, h, m	10,8,24	15~16	-12~-10	KND	KND	
1607	3, 1, 4	m, h, h	10,8,27	15~16	-9	KND	KND	
1615	4	h	15	12	-9	-1	+7	
1619	4, 1	h, h	15,12	12	-6~-5	+8~+9	+8~+9	
1621	4, 3	h, m	15,20	12	-12~-11	KND	KND	
1620	4, 4	h, m (TJ)	15,25	s js22~	+3~+4	KND	KND	Tail spin
2168	1+2	m	25	21~22 pc8~20	-14	KND	TUKD	Power crush
1558	3+4	h (TJ)	25	25~26d js13~	-14~-13	CS	CS	
""	3+4, Any button	h (TJ), (Special)	25	25~26s js13~	-24~-23g	CS	CS	
1626	f+2	h	16	19~20	-8~-7	+3~+4	+8~+9	
1629	f+2, 4	h, m	16,24	19~20	-7~-6	KND	uKZD	
1631	f+3	m	11	20	-6	+2	+2	
""	f+3, D/F	m, (Special)	11	20	-1	+7	+7	
1633	f+3, 2	m, h	11,20	20	-9~-8	KND	KND	Tail spin
1634	f+3, 3	m, m(, (throw))	11,14(,20)	20	-12	Throw(KND)	Throw(KND)	
""	f+3, 3	m, m	11,14	20	-12~-9	-1~+2s	+4~+7s	
1636	f+4	h	16	14~15	-7~-6	+4~+5	+4~+5	
1638	f+4, 4	h, h	16,14	14~15	-11~-10	0~+1	Launch (JG?)	
1639	f+4, 4, 3	h, h, h	16,14,20	14~15	-5~-4	KND	KND	
1637	f+4, d+4	h, l	16,12	14~15	-12	+3s	+3s	
1630	f+1+2	h	20	17~18	-9~-8	KND	KND	Tail spin
1714	d/f+1	m	13	13	-2	+7	+7	
1715	d/f+1, 4	m, h	13,23	13	-7~-6	KND	KND	
1716	d/f+2	m	14	15~16	-12~-11	Launch (JG?)	Launch (JG?)	
1717	d/f+3 (Close)	m(, (throw))	16(,20)	17	-6	Throw(KND)	Throw(KND)	
""	d/f+3	m	16	17~20	-6~-3	+5~+8s	+10~+13s	
""	d/f+4	m	14	12	-9	+2	+2	
""	d/f+1+2 or FC+d/f+1+2	(Special)(lReturns move)	20～	12(s)		Attack returned(KND)		
1688	d+1	m	18	18~19	0~+1s	+7~+8s	KND	
1695	d+2	l (TC)	17	18~19s cs6~	-13~-12	0	+13~+14g	
1710	d+3	l	13	17~18	-14~-13	-3~-2	0~+1s	
1828	d+3, 4	l, m	13,18	17~18	-11	+5	+23g(KND)	
1807	d+4	l	12	15~16	-15~-14	-9~-8	-4~-3	
1809	d+4, 1	l, h	12,8	15~16	-11~-10	+5~+6	+5~+6	
1810	d+4, 1, 3	l, h, h	12,8,21	15~16	-16~-15	KND	KND	
1811	d+4, 4	l, h	12,23	15~16	-15~-14	KND	KND	
1694	d/b+2	m	12	14~15	-7~-6	+4~+5	+4~+5	
1803	d/b+2, 1	m, m	12,10	14~15	-10~-9	+1~+2	+3~+4	
1804	d/b+2, 1, 2	m, m, m	12,10,20	14~15	-14	uKZD	uKZD	
