move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes
2109	in rage 1+2	m	55	20 pc8~17	-22	KND	KND	Rage art
1622	in rage SEN 1+2	m, (DEN)	27	12~13	+7~+8	KND	KND	Rage art
	in rage SEN 1+2, b+2+3	m, !	27,33	12~13	KND	KND	KND	" "
1556	1	h	7	10	+1	+8	+8	" "
1560	1, 1	h, m	7,10	10	-8~-7	0~+1	0~+1	" "
1561	1, 1, 1	h, m, m	7,10,15	10	-14~-13	KND	KND	" "
1559	1, 2	h, h	7,9	10	-1	+7	+7	" "
1563	1, 4	h, l	7,10	10	-12~-11	+1~+2	+1~+2	" "
1564	2	h	10	10	0	+8	+8	" "
1565	2, 1	h, m	10,7	10	-5~-4	+6~+7	+6~+7	" "
1566	2, 1, 3	h, m, m	10,10,20	10	-12~-11	KND	KND	" "
1567	2, 1, 4	h, m, h	10,10,27	10	-7~-6	KND	KND	Tail spin
1570	3	h	16	15	-12	+5	+5	" "
	3, D	h	16	15s	-12	+5	+5	" "
1575	4	h	27	17~18	-7~-6	KND	KND	Tail spin
1578	f+1	h	10	13	-5	+6	+6	" "
1579	f+1, 2	h, m	10,11	13	-5	+6	+6	" "
	f+1, 2, F	h, m (SEN)	10,11	13	-8	+3	+3	" "
1581	f+1, 2, 3	h, m, m	10,11,20	13	-9	KND	KND	" "
	f+1, 2, 3, F	h, m, m, (DEN)	10,11,20	13	-12	KND	KND	" "
1586	f+2	h	10	12	-6	+3	+3	" "
1587	f+2, 1	h, h, (SEN)	10,12	12	-5	+6	+6	" "
	f+2, 1, F	h, h (SEN)	10,12	12	-6	+5	+5	" "
1590	f+2, 4	h, h	10,22	12	-12~-11	KND	KND	" "
1609	f+4	m	12	17	-9	+7	+7	" "
1610	f+4, 1	m, m	12,8	17	-9~-8	+2~+3	+2~+3	" "
1611	f+4, 1, 2	m, m, m	12,8,8	17	-10	+2	+2	" "
1612	f+4, 1, 2, 1	m, m, m, m	12,8,8,20	17	-14~-13	ED	ED	" "
1594	f+1+2	m	20	15~16	-13~-12	CS	CS	" "
1582	f+1+4	m	28	13	-18	ED	ED	" "
1670	d/f+1	m	14	13	-1	+5	+5	" "
1671	d/f+2	m	15	16~17	-8	+3~-4a	+3~-4a	" "
1672	d/f+2, 1	m, h	15,20	16	-7~-6	KND (KND)	KND	Tail spin
1676	d/f+3	m	15	16	-7	+3	+3	" "
	d/f+3, D	m, (DEN)	15	16	-4(-8)	+6	+6	" "
1678	d/f+3, 3	m, m	15,24	16a	-15~-14	KND	KND	" "
	d/f+4	m	16	15~16	-8~-7	+2~+3	+2~+3	" "
1673	d/f+1+2	m	25	25 pc8~24	-12	KND	KND	Power crush
1656	d+2	m	17	18~19	0~+1s	+8~+9s	KND	" "
	d+2, D	m	17	18~19	0~+1s	+8~+9s	KND	" "
1659	d+3	l	8	15	-14	-3	-3	" "
1661	d+3, 1	l, hh	8,4,10	15	-7	+4	+4	" "
1658	d+1+2	l (TC)	25	24~25s cs20~	-20~-19	KND	KND	" "
1651	d/b+1	l (TC)	9	17s cs6~	-12	-1	-1	" "
