move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes
2147	in rage 1+2	m	55(10,45)	20 pc8~17	-22	KND	KND	Rage art
2146	in rage 1+2, b	m	20	20	-22	TSU	TSU	Rage art
1713	in rage qcf+1+2	m	40(60)	12(14~)	+3(wl+9)	KND	KND	Rage drive
1616	1	h	7	10	+1	+8	+8	
1595	1, 2	h, h	7,12	10	-1	+6	+6	
""	1, 2, 3	h, h, m	7,12,7	10	-25~-24	-14~-13	-14~-13	
1811	1, 4	h, l (TC)	7,8	s cs10~	-11	+1	+1	
1600	2	h	10(12)	10	0	+6	+6	
1760	2, 3	h, h	12,21	10	-12~-11	KND	CS	
1762	2, d+3	h, l (TC)	10,11	s cs10~	-12	-1	-1	
1603	3	m	14	15~16	-7~-6	+4~+5	+4~+5	
1604	3, 2	m, h	14,17	15~16	-3	+7	KND	
""	3, 2, b	m, h	14,17	15~16	+4	+14g	KND	
""	3, 2, b, any input	m, h, Special (cancel)	14,17	15~16	+3	+13g	KND	
""	4	h	17	12	-7	+7	Launch (JG?)	
1617	f+2	h	10	12	0	+6	+6	
1763	f+2, 3	h, h	10,16	12	-11~-10	+5~+6	+5~+6	
1764	f+2, 3, 1	h, h, m	10,16,22	12	-12	KND	+19	
1618	f+1+2	m	22	20~21	+3~+4s	+8~+9s	KND	
1785	f+1+4	m	21	21~23	-14~-12	KND	KND	
1663	d/f+1	m	13	14	-2	+4	+4	
1664	d/f+1, 1	m, h	13,9	14	-5~-4	+5~+6	+8~+9	
1669	d/f+1, 1, 2	m, h, m	13,9,22	14	-9~-8	KND	KND	
1670	d/f+1, b	m, (Special)	13	14	+3	+9	+9	
""	d/f+2	m	13	15~16	-8~-7	Launch (JG?) (+3a)	Launch (JG?)	
1674	d/f+3	m	14	16	-9	+2	+2	
1675	d/f+3, 4	m, m	14,17	16	-10~-9	+6~+7	FS (+6~+7)	
""	d/f+3, 4*	m, m	14,25	16	-6~-5	FS (+6~+7)	FS (+6~+7)	
1686	d/f+4	m	21	19~20	-1~0	+9~+10	KND	
1652	d+1	m	16	14~15	-9~-8	+2~+3	+3~+4s	
""	d+1, D	m	16	14~15s	-9~-8	+2~+3	+3~+4s	
1718	d+1, 2	m, m	16,26	14~15	-17	KND	KND	
""	d+1, 2 (Hold)	m, m	16,39	14~15	+20g	KND	KND	
1773	d+1, 4	m, l	16,15	14~15	-31	-17	KND	
1725	d+1, 4, 2	m, l, m	16,15,21	14~15	-14	KND	KND	
1719	d+4 (Close)	l	13	15	-31	KND	KND	
	d+4	l	9	15	-31	-17	KND	
1721	d+4, 2	l, m	9,23	15	-18	-9	-9	
""	d+4:2:1+2	l, m, m	9,23,22	15	-17~-16	KND	KND	
1724	d+4, 2:1+2	l, m, m	9,23,25	15	-17~-16	KND	KND	
1658	d+1+2	m?	30	12~13	-16~-15	KND	KND	
1656	d/b+2	m?	21	19~20	-11~-10	KND	Launch	
1623	b+1	h	12	12~13	-9~-8	+2~+3	+2~+3	Homing
1624	b+1, 2	h, h	12,21	12~13	-5~-4	+8k~+9k	+8k~+9k	Tail spin
1626	b+2	m	22	18	-5s	+4s	+4s	
1629	b+2, 1	m, m	22,22	18	-12	0s	KND	
	b+2, 1*	m, m	22,35	18	+8~+9s	+8~+9s	KND	
1678	b+3	h	16	14~15	-6~-5	CS	CS	
1651	b+4	l	14	20~21	-13~-12	+3~+4	+3~+4	
1634	b+1+2	h	28	24 pc8~23	0	KND	KND	Power crush
1630	u/b+2	m	22	20~21	-9~-8	KND	CS	Homing
1793	u/f+2	m (TJ)	35	34a js8	+9	KND	KND	Wall bounce
""	u/b+3	m (TJ)	12	15~16 js10~	-16~-15	Launch (JG?)	Launch (JG?)	
""	u+3	m (TJ)	13	15~16 js9~	-16~-15	Launch (JG?)	Launch (JG?)	
1558	u/f+3	m (TJ)	14	15~16 js9~	-16~-15	Launch (JG?)	Launch (JG?)	
1780	u/b or u or u/f+3, 4	m (TJ), m (TJ)	14,20	js1~	-13~-12	Launch (JG?)	Launch (JG?)	
""	u/f+4	m (TJ)	13	15~17 js9~	-13~-11	Launch (JG?)	Launch (JG?)	
1731	f, F+2	m	14	15~17 (16~)	-17~-15	-7~-5	-7~-5	
1701	f, F+2, 1	m, m	14,20	15~17 (16~)	-12	KND	KND	
""	f, F+2, 1, B (Cancel)	m, (Special)	14	15~17 (16~)	-21~-19	-11~-9	-11~-9	
1752	f, F+2, 2	m, l (TC)	14,21	cs15~	-19~-17	Launch	Launch	
""	f, F+2, 2, B (Cancel)	m, (Special) (TC)	14	15~s	-28~-26	-18~-16	-18~-16	
1732	f, F+2:1	m, h	14,24	15~	-4	KMeD	KMeD	
1769	f, F+3	m (TJ)	14	15~16a (16~) js9~	-17~-16	Launch (JG?)	Launch (JG?)	
1775	f, F+3, 4	m (TJ), m (TJ)	14,15	js1~	-16~-15	Launch (JG?)	Launch (JG?)	
1776	f, F+3, 4, 4	m (TJ), m (TJ), h	14,15,25	1~	-5~-3	KND	KND	
1777	f, F+3, 4, f or d/f+4	m (TJ), m (TJ), m	14,15,18	1~	-14~-12	KND	KND	
1778	f, F+3, 4, d or d/b+4	m (TJ), m (TJ), l (TC)	14,15,15	s cs20~	-17~-16	-6~-5	-6~-5	
1782	f, F+4	m (TJ)	20	23~34as (27~) js13~	-5~+6	KND	KND	
1791	b, f+1	h	22	28~31 (28~)	-6~-3	KND	KND	
1636	b, B+1+2	!	80	63~64 (64~)	KND	KND	KND	
1790	WS+2	m	20	15~16	-14~-13	Launch	Launch	
1694	WS+3	m	16	13~14	-8~-7	+3~+4	+3~+4	
1695	WS+3, 2	m, h	16,21	13~14	-9~-8	KND	CS	Tail spin
